100,Sunny Bungalow in the City,Entire home/apt
101,Charming room in pet friendly apt,Private room
102,Mexican Folk Art Haven in Boston,Private room
103,Spacious Sunny Bedroom Suite in Historic Home,Private room
104,Come Home to Boston,Private room
105,Private Bedroom + Great Coffee,Private room
106,New Lrg Studio apt 15 min to Boston,Entire home/apt
107,"""Tranquility"" on ""Top of the Hill""",Private room
108,6 miles away from downtown Boston!,Private room
109,Perfect & Practical Boston Rental,Entire home/apt
110,Cozy room in a well located house,Private room
111,Room in Rozzie-Twin Bed-Full Bath,Private room
112,"Updated, spacious living in Rozzie",Entire home/apt
113,2 Bedroom Apartment in Boston,Entire home/apt
114,Quiet  Beauty in Boston,Entire home/apt
115,Cozy Room & Fresh Roasted Coffee,Private room
116,"Convient, Safe and Comfortable",Private room
117,Roslindale Beauty next to Arboretum,Private room
118,Private room near bus stop,Private room
119,Private Room near Public Transport,Private room
120,Cozy room in a charming villa.,Private room
121,Arborside Guest Cottage,Entire home/apt
122,Skyline View to Boston,Private room
123,Spacious 3 bedroom cape cod style,Entire home/apt
124,"4BD/3.5BA, Perfect for families!",Entire home/apt
125,Private room in house ,Private room
126,Surround yourself with custom art!,Private room
127,Sunny bedroom with private bathroom,Private room
128,Bright Room Near Roslindale Village,Private room
129,Room for 2 in Rozzie - Full Bath,Private room
130,Private room in spacious condo!,Private room
131,Adorable  Apt. 20 min from Downtown,Entire home/apt
132,1 Bedroom Home Suite Home,Entire home/apt
133,Private Room near public transport,Private room
134,Charming Gambrel on a sweet street,Private room
135,Private 1 bedroom w/ kitchenette,Entire home/apt
136,Comfortable & Clean - Boston,Private room
137,Charming 3 bedroom-15 min to Boston,Entire home/apt
138,Charming new house-15 min to Boston,Entire home/apt
139,"""Room with a View""  from ""Top of the Hill""",Private room
140,Lovely & Gracious Victorian room,Private room
141,"Cozy, quiet room in Roslindale",Private room
142,Private Room in Rozzie,Private room
143,Queen room in a charming villa,Private room
144,Charming sunlit house in Boston,Entire home/apt
145,Guest Room in Cozy Home,Private room
146,Sunny bedroom in large quiet house,Private room
147,Cozy in Rozzie!,Private room
148,Private Room in Single Family Home,Private room
149,The Artist room in beautiful villa.,Private room
150,PrivRoom+Bath In Roslindale/Boston,Private room
151,1bd Boston apt - Convenient & quiet,Entire home/apt
152,Quiet Sunlit Attic Studio,Entire home/apt
153,In-Law Apartment,Entire home/apt
154,Cozy room near the arboretum,Private room
155,Private House in Roslindale/Boston/Arboretum,Entire home/apt
156,Gorgeous Boston Loft Style Condo!,Entire home/apt
157,Private room in peaceful space,Private room
158,"Loft bedroom, sleeps 2",Private room
159,Part of a Large Condo Jamaica Plain,Private room
160,Beautiful and sunny condo ,Private room
161,Sunlit room with private bath,Private room
162,"Bed, Bath and Beyond III in JP",Private room
163,Private studio by subway w/parking,Private room
164,Spacious room convenient to subway,Private room
165,Artistic House Next To Jamaica Pond,Private room
166,"Cozy Room off Centre St, JP!",Private room
167,Private floor in Jamaica Plain home,Private room
168,Spacious room in secluded townhouse,Private room
169,Charming Victorian near T,Private room
170,"Beautiful, Expansive Space in JP",Private room
171,"Sunny room, colorful artist home",Private room
172,"Cozy Room + Private Bath, JP Boston",Private room
173,Lovely room with private half bath,Private room
174,"Beautiful, airy room in JP",Private room
175,Cozy JP bedroom near Orange Line T,Private room
176,Great Boston neighborhood Jamaica PLain,Private room
177,Qn BR/Private Bath/Superhost/JP Ctr,Private room
178,Mark P.Coleman,Private room
179,JP Gem,Private room
180,"Cozy, comfortable, colorful room near orange line",Private room
181,The Blue Room in JP,Private room
182,Parking/Pvt Bath/Hip Neighborhood!,Private room
183,"Cozy den, private apt/kitchen/bath",Private room
184,Private Room near Forest Hills T Stop,Private room
185,Sunny and quiet private room close to subway (JP),Private room
186,Room in beautiful JP home,Private room
187,Convenient green Victorian,Private room
188,Cozy room in boston neighborhood,Private room
189,"Nice private room, full size bed",Private room
190,Cozy Neighborhood Spot,Private room
191,"Peaceful room, garden oasis",Private room
192,Lg sunny room w/private entrance,Private room
193,Spacious 2 bedroom apartment (free parking),Entire home/apt
194,Beautiful bright corner unit!ioc,Entire home/apt
195,Clean Apartment in Boston,Entire home/apt
196,Stay in Boston's top neighborhood,Entire home/apt
197,Bright room with queen sized bed,Private room
198,Spacious home in Jamaica Plain,Entire home/apt
199,"3rd floor condo, 2 bedrooms, 2 decks",Entire home/apt
200,4 bedroom Victorian Condo unit,Entire home/apt
201,Lovely bedroom/use of whole apt.,Private room
202,The Blue Grotto,Private room
203,A suburban feel in the city,Private room
204,Stay in Boston's best neighborhood!,Private room
205,"Elegant studio,kitchn, soaking tub",Entire home/apt
206,Priv apt w/2 Beds 1 bath close to Medical/Downtown,Entire home/apt
207,Woodland Sanctuary next to Orange Line T,Entire home/apt
208,"Cozy bedroom near train, bus, parks",Private room
209,Quiet & Sunny Room Near Subway,Private room
210,Lovely one bedroom Apt,Entire home/apt
211,Spacious Apartment in Jamaica Plain,Entire home/apt
212,Pondside Paradise with Piano,Entire home/apt
213,"Convenient, Sunny 3b/2bth w/Parking",Entire home/apt
214,Tranquil Treetop Loft,Entire home/apt
215,"Historic Carriage House, a peaceful city oasis",Entire home/apt
216,"Large, sunny, cozy home w/character",Entire home/apt
217,Boston 2 bedroom top floor condo w/balcony!,Entire home/apt
218,Charming 2BD Across from Arboretum,Entire home/apt
219,"Hidden Gem in Jamaica Plain, Boston",Private room
220,JP Whole awesome apartment,Entire home/apt
221,Private Room in Urban DIY House,Private room
222,Cozy room in Jamaica Plain,Private room
223,"Sunny, Cozy and Convenient JP Home!",Private room
224,Vintage Apt With 3 Large Bedrooms,Entire home/apt
225,Large and Cozy Boston Bedroom,Private room
226,Private Apartment!,Entire home/apt
227,Sunny apartment in Boston hosts 6,Entire home/apt
228,One Private Bedroom in J.P.,Private room
229,3+ bedroom house - center of JP,Entire home/apt
230,Luxury Apt near Restaurants&Pond&T,Entire home/apt
231,Designers Haven: II - whole apt!!!,Entire home/apt
232,Spacious 2BD w/ Balconies & Parking,Entire home/apt
233,"""The Sheridan"" JP, Boston",Private room
234,Sumnerhill.com,Entire home/apt
235,Fully Renovated Room in JP,Private room
236,Restful space with morning light,Private room
237,Private bedroom in heart of JP,Private room
238,Welcome to cozy groundfloor 2rm apt,Entire home/apt
239,Cozy Sunroom in Secluded Townhouse,Private room
240,Twins in a peaceful room.,Private room
241,Room in the heart of JP,Private room
242,Terrestrial Paradise of Eternal Love,Private room
243,3BR + Office Single Family in JP near Monument,Entire home/apt
244,Private studio w/ private entrance,Entire home/apt
245,2BD Pond-side condo in JP ,Entire home/apt
246,Tranquil room in great spot!,Private room
247,"Quiet, Private Room with Comfy Bed",Private room
248,Private Studio- Minutes from T!,Private room
249,Treetop Haven in the City,Entire home/apt
250,Funky Alcove for 2/Superhost/JP Ctr,Shared room
251,"Quiet, Spacious 2BD in Boston's JP!",Entire home/apt
252,Large Sunny Apartment in JP,Entire home/apt
253,"Beautiful Home in Jamaica Plain, MA",Private room
254,3 BR Apartment with Kitchenette,Entire home/apt
255,"A quiet, green oasis in funky JP! ",Private room
256,Comfortable Private Bedroom for 2,Private room
257,Excellent Room! Right by the Subway,Private room
258,Charming Boston Apartment,Entire home/apt
259,Cozy 1 Bd Artist's Sanctuary,Entire home/apt
260,"Peaceful/Fun area, 4 minute walk to ""T""",Private room
261,Treetop Room in Sunny Pondside Home,Private room
262,"CITY HOME COUNTRY FEEL, Boston, MA USA",Entire home/apt
263,Lovely home in Jamaica Plain Boston,Entire home/apt
264,Treetop 2+BR Condo w/ Guest Hammock,Entire home/apt
265,Room in Pondside Apt!,Private room
266,One Bedroom Studio Garden Apartment,Entire home/apt
267,Queen Bed/Near Subway/Free Passes,Private room
268,Beautiful Modern Condo,Entire home/apt
269,Super Cozy Apt - An Artist's Home,Shared room
270,"Charming  Apartment, Jamaica Plain",Entire home/apt
271,Treetop Jamaica Plain home,Entire home/apt
272,Private room in great JP location!,Private room
273,"T'BEST: Priv. Bath, Deck; Subway, Parking Option",Private room
274,Parkside Apartment- Cozy and Roomy!,Entire home/apt
275,Centered on Centre ,Entire home/apt
276,"Sofa bed in cozy, clean apartment",Shared room
277,Pvt tree top room in great location,Private room
278,Family-Friendly Victorian Townhouse,Entire home/apt
279,Lovely private 4 bedroom apt,Entire home/apt
280,Light and airy separate apartment in funky JP,Entire home/apt
281,2 bedroom Jamaica Plain Egleston Square w/ parking,Entire home/apt
282,Beautiful Apartment in Boston!,Entire home/apt
283,Small Cozy Room in Beautiful Place,Private room
284,Cozy guest room. Awesome location!,Private room
285,Family-friendly private room,Private room
286,Charming Arboretum Area 1+ Bed/1 Ba,Entire home/apt
287,Beautiful Victorian on Quiet Street,Entire home/apt
288,Full One-Bedroom in Jamaica Plain,Entire home/apt
289,Gorgeous townhouse in Boston,Entire home/apt
290,TWO BEDROOM APARTMENT,Entire home/apt
291,Rustic Room/Free Transit/By Subway,Private room
292,"Cozy guest room, great location!",Private room
293,One private room in Jamaica Plain,Private room
294,"Family friendly, great location",Entire home/apt
295,Cozy & Private Room close to city,Private room
296,Jamaica Plain's Urban Oasis,Entire home/apt
297,"Gracious, stunning, with fireplace",Private room
298,Boston Charm - Condo,Entire home/apt
299,Elegant Quiet Family-Friendly 2BR,Entire home/apt
300,Cozy guest room. Awesome location!,Private room
301,"Sunny Home in Jamaica Plain, Boston",Private room
302,Beautiful Boston Room-Sunny!,Private room
303,"Great location, large room, and private bath.",Private room
304,"Sunny, Family-Friendly Apartment",Entire home/apt
305,Sunny JP bedroom near Orange Line T,Private room
306,The Roost -  Fox Room,Private room
307,"Sunny, Modern, Jamaica Plain Condo",Entire home/apt
308,Diamond House -2- Victorian Jewel,Entire home/apt
309,"Cozy, 2 bedroom near medical area!",Entire home/apt
310,2BR in eclectic JP neighborhood,Entire home/apt
311,"Cozy, bohemian Jamaica Plain studio",Entire home/apt
312,Spacious 5BR Condo Near Metro,Entire home/apt
313,Queen size bed in roomy 2 BR condo,Private room
314,"Spacious, well-located 2-bed apt",Entire home/apt
315,Cozy Room In JP,Private room
316,Luxury loft w/ beautiful city view,Entire home/apt
317,Vacation Rental,Entire home/apt
318,"Priv. bath, breakfast, parking, puppy, T in hip JP",Private room
319,"Your own bedroom, sitting room and bathroom near T",Private room
320,the apartment in the sky,Entire home/apt
321,"Colorful artist home, prime location!",Entire home/apt
322,Quiet and comfy in Jamaica Plain,Private room
323,Clean Comfortable Room in Modern Home Near Transit,Private room
324,The City Cabin - 2 blocks to Subway,Entire home/apt
325,"Urban oasis, wonderful location!",Private room
326,"Private room, Boston with breakfast",Private room
327,Lg rm in beautiful Victorian,Private room
328,Sweet penthouse in historic Boston,Entire home/apt
329,"Private Room, near JP Center & MBTA",Private room
330,"Charming room, in hip JP near The T",Private room
331,Sun filled modern master suite and separate den,Entire home/apt
332,Private room & bath - Jamaica Plain,Private room
333,A quiet and sunny room,Private room
334,"Fun Location, Beautiful & Spacious!",Entire home/apt
335,Charming & Quiet in Jamaica Plain,Private room
336,Entire Third Floor with private bath.,Entire home/apt
337,French Country 2bd/2bth Heart of JP,Entire home/apt
338,Sunny Private Room and Bath in JP,Private room
339,JP Green House: Simple and Private,Private room
340,JP Green House: Garden Apartment,Entire home/apt
341,Qn BR/deck/Jacuzzi/Superhost/JP Ctr,Private room
342,Unique Loft in Central JP Location,Entire home/apt
343,336 Centre St Boston!,Private room
344,"Beautiful bedroom, cozy atmosphere",Private room
345,Pondside Spacious Condo,Entire home/apt
346,"Small, sweet, single-bed near T",Private room
347,Entire Tree-Top 1BR Condo in JP on T + Parking,Entire home/apt
348,Idyllic Wooded Boston Neighborhood,Private room
349,Arthouse in Historic Brewery District!,Entire home/apt
350,Entire 2 bedroom spacious apartment,Entire home/apt
351,Spacious & Modern in Central JP,Entire home/apt
352,Large newly renovated apt in perfect  JP location!,Entire home/apt
353,Family Friendly Home Away From Home,Entire home/apt
354,Hidden gem in Jamaica Plain,Entire home/apt
355,Cozy JP apt w/ short walk to T,Entire home/apt
356,Jamaica Plain's PINK ROOM,Private room
357,spacious 3rd floor loft in home,Private room
358,"Retro Cool Artist's House, Parking",Entire home/apt
359,Sunny Private Studio Aptmt,Entire home/apt
360,The Hedges: Sunny urban garden home,Private room
361,Two Room Master Suite with Spa Bath,Entire home/apt
362,Cozy JP resting place,Private room
363,Sweet quiet room in JP condo,Private room
364,Private room in Jamaica Plain!,Private room
365,Earth Sanctuary of Abundant Health,Private room
366,Clean Room in the JP Neighborhood,Private room
367,"Affordable Boston, The dream of the 90's lives.",Shared room
368,Luxurious Room includes Jacuzzi,Private room
369,Cozy Jamaica Plain Pad,Private room
370,Quiet and close to subway!,Private room
371,"Close to universities, hospitals",Private room
372,Cheery skylit room w/ Queen bed,Entire home/apt
373,"Jamaica Plain condo, great location",Entire home/apt
374,Modern and charming condo in JP.,Entire home/apt
375,Cozy Room with Shared Bath,Private room
376,Diamond House -3- Victorian Jewel,Entire home/apt
377,Modern Townhouse in Hippest 'Hood,Private room
378,Beautiful 3 BR with Great Location,Entire home/apt
379,Rare! Boston house near everything,Entire home/apt
380,Spacious & Charming in JP,Entire home/apt
381,"Fantastic Design, Spacious Boston",Entire home/apt
382,"Comfortable, convenient & affordable JP Apartment",Entire home/apt
383,Sports Room/Near Subway/Free Passes,Private room
384,Need to be cozy at the last minute,Private room
385,2 bdrms in JP Victorian,Entire home/apt
386,bright 3floor bedroom in a old brick city house,Private room
387,Studio & Bath On 1st Floor in JP Boston Near Train,Entire home/apt
388,Private Room/Bath 5mins from Green St MBTA Stop!,Private room
389,Friendly Resting Spot/Great Transit,Private room
390,Private rm 15' bus ride to downtown,Private room
391,Beautiful 3 bd-2 ba  with parking.,Entire home/apt
392,Boston Room/Free Transit/ By Subway,Private room
393,Cozy JP Studio-Best Location!,Entire home/apt
394,Quiet Artist's Retreat,Private room
395,"Arthouse2 Brewery District, stay in an art gallery",Entire home/apt
396,Home Away from Home,Entire home/apt
397,Rare! Pondside home-yours in July!,Entire home/apt
398,Elegant 2Bdr in Victorian Home,Entire home/apt
399,"Clean, Comfortable, Convenient and Close to the T",Private room
400,Large bedroom in Arts & Crafts Jamaica Plain home,Private room
401,"Sweet Little House in JP, Boston",Private room
402,Dog friendly townhome w/ roof deck!,Entire home/apt
403,Private Room in convenient location,Private room
404,Sunny and Spacious in the heart of Hyde Square,Private room
405,2 BR Modern Loft of Jamaica Plain,Entire home/apt
406,A Cozy Room in Veggie Paradise!,Private room
407,Clean apartment in trendy JP Boston,Private room
408,"Large, sunny, quiet private room near transit",Private room
409,Urban oasis trendy JP 'hood - suite,Entire home/apt
410,Beautiful house in Jamaica Plain,Entire home/apt
411,Sunny musicians apt. close to T!,Private room
412,Large Arts & Crafts style Jamaica Plain home.,Private room
413,"A serene, green oasis in funky JP! ",Private room
